"State","Abortions","Year","Month","Population","AbortionsPerThousandWomen"
"Alabama",650,2022,"Apr",1140289.70833131,0.570030576660384
"Alaska",120,2022,"Apr",159732.666667574,0.751255222262936
"Arizona",1320,2022,"Apr",1625821.24999911,0.811897371867123
"Arkansas",290,2022,"Apr",675417.124999268,0.429364298396068
"California",13690,2022,"Apr",9096312.37499584,1.50500548306052
"Colorado",1600,2022,"Apr",1371098.79166552,1.16694727595553
"Connecticut",900,2022,"Apr",804144.374998723,1.11920200896938
"Delaware",200,2022,"Apr",215228.125001155,0.929246584287841
"DC",930,2022,"Apr",196779.499999937,4.72610205839682
"Florida",6050,2022,"Apr",4660461.00000052,1.29815483918851
"Georgia",4450,2022,"Apr",2582017.41666497,1.723458552711
"Hawaii",240,2022,"Apr",295892.124998415,0.811106412518702
"Idaho",220,2022,"Apr",434400.416667437,0.506445186419849
"Illinois",5640,2022,"Apr",2854937.41666736,1.97552491591347
"Indiana",920,2022,"Apr",1528780.16666745,0.601786980272964
"Iowa",380,2022,"Apr",693355.916666888,0.548059071633429
"Kansas",970,2022,"Apr",646386.999999525,1.50064899201363
"Kentucky",310,2022,"Apr",985941.666666338,0.31442022432034
"Louisiana",760,2022,"Apr",1043432.2083343,0.728365478782029
"Maine",190,2022,"Apr",281965.499999994,0.673841303280026
"Maryland",2860,2022,"Apr",1390555.66666588,2.05673175735379
"Massachusetts",1720,2022,"Apr",1611563.2500005,1.0672866857689
"Michigan",2610,2022,"Apr",2175020.75000066,1.19998855183299
"Minnesota",930,2022,"Apr",1254746.83333356,0.741185373251122
"Mississippi",350,2022,"Apr",667179.291666976,0.524596617987812
"Missouri",10,2022,"Apr",1365245.0833326,0.00732469219049645
"Montana",170,2022,"Apr",237252.541667769,0.716536053965886
"Nebraska",200,2022,"Apr",433668.124999182,0.461182153980944
"Nevada",1140,2022,"Apr",715001.458332915,1.5944023424204
"New Hampshire",230,2022,"Apr",290406.208333206,0.79199408759231
"New Jersey",4580,2022,"Apr",2039088.1249997,2.24610204132334
"New Mexico",1220,2022,"Apr",462118.875000898,2.6400133515378
"New York",9640,2022,"Apr",4465829.41666747,2.15861357445078
"North Carolina",3950,2022,"Apr",2418596.54166686,1.63317855291305
"North Dakota",90,2022,"Apr",170955.166667395,0.526453816836675
"Ohio",2040,2022,"Apr",2564767.45833245,0.795393747441867
"Oklahoma",480,2022,"Apr",905994.541667554,0.529804516389825
"Oregon",840,2022,"Apr",960529.874999839,0.874517307439439
"Pennsylvania",2920,2022,"Apr",2807280.49999948,1.04015256045861
"Rhode Island",310,2022,"Apr",245977.500000409,1.26027787094139
"South Carolina",690,2022,"Apr",1157762.5416678,0.595977132759909
"South Dakota",20,2022,"Apr",189564.500002148,0.105504986428225
"Tennessee",1190,2022,"Apr",1590309.08333265,0.748282212855275
"Texas",3190,2022,"Apr",7159034.33332947,0.445590822933855
"Utah",320,2022,"Apr",838210.708333921,0.381765583305481
"Vermont",110,2022,"Apr",137540.583333439,0.799763948458236
"Virginia",2130,2022,"Apr",1955311.66666605,1.08934040353362
"Washington",1780,2022,"Apr",1771575.66666758,1.00475527717552
"West Virginia",170,2022,"Apr",366561.375001204,0.46376953927413
"Wisconsin",590,2022,"Apr",1266466.16666643,0.465863214927398
"Wyoming",40,2022,"Apr",123894.791666246,0.322854572513055
"Telehealth",3650,2022,"Apr",75030403.3749939,0.0486469462486786
"Alabama",620,2022,"May",1140650.08333119,0.543549690707366
"Alaska",130,2022,"May",159722.666667655,0.813910778678014
"Arizona",1470,2022,"May",1627905.16666571,0.90300100405165
"Arkansas",340,2022,"May",675779.249999216,0.503122876294877
"California",13680,2022,"May",9090289.41666217,1.50490258043105
"Colorado",1690,2022,"May",1371926.91666542,1.23184404319997
"Connecticut",930,2022,"May",804602.749998619,1.15584988990107
"Delaware",220,2022,"May",215398.250001244,1.02136391543909
"DC",890,2022,"May",196975.666666617,4.518324598471
"Florida",6100,2022,"May",4665559.3333339,1.30745309708473
"Georgia",4150,2022,"May",2583723.16666488,1.60620923075009
"Hawaii",210,2022,"May",295729.916664962,0.71010739247566
"Idaho",220,2022,"May",435319.833334165,0.505375549547088
"Illinois",5610,2022,"May",2852577.83333409,1.96664221899356
"Indiana",850,2022,"May",1529186.00000083,0.555851282969853
"Iowa",370,2022,"May",693548.833333574,0.53348802884085
"Kansas",950,2022,"May",646472.666666155,1.46951301885527
"Kentucky",380,2022,"May",985850.666666316,0.385453915941429
"Louisiana",810,2022,"May",1042739.75000103,0.776799771946167
"Maine",230,2022,"May",282185.999999994,0.81506524065689
"Maryland",2850,2022,"May",1390141.3333325,2.05015125560498
"Massachusetts",1590,2022,"May",1611308.50000053,0.98677565469274
"Michigan",2570,2022,"May",2174328.16666738,1.18197429412832
"Minnesota",920,2022,"May",1254809.33333358,0.733179117783486
"Mississippi",350,2022,"May",666998.250000333,0.524739007935666
"Missouri",10,2022,"May",1365559.49999921,0.00732300569840112
"Montana",180,2022,"May",237738.750001181,0.757133618306255
"Nebraska",190,2022,"May",433772.583332451,0.438017540298024
"Nevada",1110,2022,"May",715591.916666215,1.55116341331977
"New Hampshire",200,2022,"May",290392.416666527,0.688723219069699
"New Jersey",4550,2022,"May",2038659.583333,2.2318586375079
"New Mexico",1200,2022,"May",462200.75000097,2.59627445433068
"New York",10150,2022,"May",4459513.16666751,2.27603319480383
"North Carolina",3960,2022,"May",2420964.75000019,1.63571154846418
"North Dakota",110,2022,"May",171039.666667452,0.643125668701578
"Ohio",1990,2022,"May",2564150.91666572,0.776085364970518
"Oklahoma",140,2022,"May",906810.083334283,0.154387343692991
"Oregon",800,2022,"May",960555.083333164,0.832851768608593
"Pennsylvania",2650,2022,"May",2807341.99999944,0.943953390787629
"Rhode Island",290,2022,"May",245910.000000447,1.17929323736112
"South Carolina",630,2022,"May",1159056.75000122,0.543545430367701
"South Dakota",40,2022,"May",189832.000002314,0.21071263011248
"Tennessee",1220,2022,"May",1591456.16666593,0.766593529594895
"Texas",2990,2022,"May",7167946.99999585,0.417134780712208
"Utah",400,2022,"May",839517.75000064,0.476464017585924
"Vermont",120,2022,"May",137589.83333345,0.872157463183918
"Virginia",2180,2022,"May",1955399.33333267,1.11486178952743
"Washington",1730,2022,"May",1772348.00000099,0.976106272582493
"West Virginia",230,2022,"May",366399.083334634,0.627730828108923
"Wisconsin",620,2022,"May",1266415.66666641,0.48957069650917
"Wyoming",40,2022,"May",123967.583332883,0.322664997772767
"Telehealth",4400,2022,"May",75043860.0833268,0.0586323783866442
"Alabama",520,2022,"Jun",1141010.45833107,0.455736401190041
"Alaska",140,2022,"Jun",159712.666667736,0.876574181127751
"Arizona",1170,2022,"Jun",1629989.08333231,0.717796218369809
"Arkansas",260,2022,"Jun",676141.374999164,0.384534965043844
"California",14330,2022,"Jun",9084266.45832849,1.57745262820447
"Colorado",1800,2022,"Jun",1372755.04166533,1.3112317532022
"Connecticut",950,2022,"Jun",805061.124998516,1.1800346215969
"Delaware",250,2022,"Jun",215568.375001334,1.15972484367641
"DC",890,2022,"Jun",197171.833333297,4.5138293079395
"Florida",6650,2022,"Jun",4670657.6666673,1.42378236098495
"Georgia",4360,2022,"Jun",2585428.9166648,1.68637395980873
"Hawaii",250,2022,"Jun",295567.708331507,0.845829882470114
"Idaho",240,2022,"Jun",436239.250000895,0.550156823347527
"Illinois",6250,2022,"Jun",2850218.25000081,2.19281453271104
"Indiana",860,2022,"Jun",1529591.83333422,0.562241495579487
"Iowa",390,2022,"Jun",693741.750000261,0.562168847413109
"Kansas",930,2022,"Jun",646558.333332786,1.43838529650708
"Kentucky",300,2022,"Jun",985759.666666295,0.30433381496989
"Louisiana",540,2022,"Jun",1042047.29166775,0.518210645829474
"Maine",240,2022,"Jun",282406.499999994,0.849838796203362
"Maryland",2890,2022,"Jun",1389726.99999911,2.07954511929455
"Massachusetts",1700,2022,"Jun",1611053.75000056,1.05520998290678
"Michigan",2910,2022,"Jun",2173635.5833341,1.33877086955689
"Minnesota",1030,2022,"Jun",1254871.8333336,0.820800955635269
"Mississippi",470,2022,"Jun",666817.20833369,0.704840838127863
"Missouri",10,2022,"Jun",1365873.91666582,0.0073213199827482
"Montana",170,2022,"Jun",238224.958334594,0.713611206770494
"Nebraska",210,2022,"Jun",433877.041665721,0.484008094076095
"Nevada",1340,2022,"Jun",716182.374999517,1.87103180248034
"New Hampshire",220,2022,"Jun",290378.624999848,0.757631523326191
"New Jersey",4620,2022,"Jun",2038231.04166629,2.26667139571334
"New Mexico",1420,2022,"Jun",462282.625001042,3.07171397583199
"New York",10820,2022,"Jun",4453196.91666753,2.42971514677526
"North Carolina",3170,2022,"Jun",2423332.95833352,1.30811574575371
"North Dakota",130,2022,"Jun",171124.166667509,0.759682296963861
"Ohio",1830,2022,"Jun",2563534.37499898,0.713858186512801
"Oklahoma",0,2022,"Jun",907625.625001013,0
"Oregon",910,2022,"Jun",960580.291666489,0.947344025163437
"Pennsylvania",2920,2022,"Jun",2807403.49999941,1.04010698853963
"Rhode Island",260,2022,"Jun",245842.500000485,1.05758768316905
"South Carolina",490,2022,"Jun",1160350.95833464,0.422286030343147
"South Dakota",30,2022,"Jun",190099.500002481,0.157812093138638
"Tennessee",1040,2022,"Jun",1592603.24999922,0.653018885903008
"Texas",2600,2022,"Jun",7176859.66666225,0.362275440897562
"Utah",360,2022,"Jun",840824.791667362,0.428151029284136
"Vermont",120,2022,"Jun",137639.083333462,0.871845387906811
"Virginia",2470,2022,"Jun",1955486.9999993,1.26311246252258
"Washington",1960,2022,"Jun",1773120.3333344,1.1053959300744
"West Virginia",220,2022,"Jun",366236.791668063,0.600704257477758
"Wisconsin",520,2022,"Jun",1266365.1666664,0.410624055120576
"Wyoming",50,2022,"Jun",124040.37499952,0.403094556914983
"Telehealth",5200,2022,"Jun",75057316.7916598,0.0692803876060997
"Alabama",0,2022,"Jul",1141370.83333094,0
"Alaska",110,2022,"Jul",159702.666667817,0.688779982796413
"Arizona",210,2022,"Jul",1632072.9999989,0.128670715096777
"Arkansas",0,2022,"Jul",676503.499999111,0
"California",13980,2022,"Jul",9078243.49999482,1.53994547513602
"Colorado",1970,2022,"Jul",1373583.16666524,1.43420511244523
"Connecticut",970,2022,"Jul",805519.499998412,1.20419182900217
"Delaware",230,2022,"Jul",215738.500001423,1.06610549344916
"DC",900,2022,"Jul",197367.999999977,4.56000972802129
"Florida",6590,2022,"Jul",4675756.00000068,1.40939775300487
"Georgia",4330,2022,"Jul",2587134.66666471,1.67366625935331
"Hawaii",210,2022,"Jul",295405.499998054,0.710887238055431
"Idaho",200,2022,"Jul",437158.666667623,0.457499794124092
"Illinois",6860,2022,"Jul",2847858.66666754,2.40882740435547
"Indiana",1100,2022,"Jul",1529997.6666676,0.718955344811632
"Iowa",360,2022,"Jul",693934.666666946,0.518780826629003
"Kansas",930,2022,"Jul",646643.999999415,1.43819474084789
"Kentucky",280,2022,"Jul",985668.666666273,0.284071117880835
"Louisiana",310,2022,"Jul",1041354.83333448,0.297689116213502
"Maine",240,2022,"Jul",282626.999999994,0.849175768769456
"Maryland",2780,2022,"Jul",1389312.66666572,2.00098945809791
"Massachusetts",1730,2022,"Jul",1610799.00000059,1.0740011633974
"Michigan",3030,2022,"Jul",2172943.00000082,1.39442221908207
"Minnesota",1160,2022,"Jul",1254934.33333362,0.924351154628599
"Mississippi",0,2022,"Jul",666636.166667047,0
"Missouri",0,2022,"Jul",1366188.33333242,0
"Montana",160,2022,"Jul",238711.166668005,0.670266088651499
"Nebraska",210,2022,"Jul",433981.49999899,0.483891594458493
"Nevada",1240,2022,"Jul",716772.833332816,1.72997628025927
"New Hampshire",210,2022,"Jul",290364.833333169,0.723228076862333
"New Jersey",4740,2022,"Jul",2037802.49999959,2.32603503038246
"New Mexico",1460,2022,"Jul",462364.500001114,3.15768187219495
"New York",10420,2022,"Jul",4446880.66666757,2.34321556638681
"North Carolina",3850,2022,"Jul",2425701.16666685,1.58716995024176
"North Dakota",100,2022,"Jul",171208.666667566,0.584082581486186
"Ohio",810,2022,"Jul",2562917.83333225,0.316046027486904
"Oklahoma",0,2022,"Jul",908441.166667742,0
"Oregon",870,2022,"Jul",960605.499999813,0.905678761989359
"Pennsylvania",3320,2022,"Jul",2807464.99999937,1.18256149230738
"Rhode Island",280,2022,"Jul",245775.000000523,1.13925338215605
"South Carolina",180,2022,"Jul",1161645.16666805,0.15495265263858
"South Dakota",0,2022,"Jul",190367.000002647,0
"Tennessee",280,2022,"Jul",1593750.3333325,0.175686237765062
"Texas",70,2022,"Jul",7185772.33332863,0.00974147200229683
"Utah",270,2022,"Jul",842131.833334081,0.32061488393218
"Vermont",120,2022,"Jul",137688.333333474,0.871533535883295
"Virginia",2670,2022,"Jul",1955574.66666592,1.36532756611749
"Washington",1750,2022,"Jul",1773892.6666678,0.986530940052487
"West Virginia",60,2022,"Jul",366074.500001493,0.16390106385382
"Wisconsin",0,2022,"Jul",1266314.66666638,0
"Wyoming",50,2022,"Jul",124113.166666157,0.402858144249041
"Telehealth",5570,2022,"Jul",75070773.4999927,0.0741966512440496
"Alabama",0,2022,"Aug",1141731.20833082,0
"Alaska",160,2022,"Aug",159692.666667897,1.00192453002705
"Arizona",720,2022,"Aug",1634156.91666549,0.440594163667687
"Arkansas",0,2022,"Aug",676865.624999059,0
"California",14530,2022,"Aug",9072220.54166115,1.60159245834863
"Colorado",2220,2022,"Aug",1374411.29166515,1.61523702072499
"Connecticut",930,2022,"Aug",805977.874998308,1.15387782822444
"Delaware",250,2022,"Aug",215908.625001513,1.15789723545434
"DC",980,2022,"Aug",197564.166666657,4.96041370525213
"Florida",7290,2022,"Aug",4680854.33333406,1.55740800308296
"Georgia",1930,2022,"Aug",2588840.41666462,0.745507520500838
"Hawaii",300,2022,"Aug",295243.2916646,1.01611114788953
"Idaho",200,2022,"Aug",438078.083334351,0.456539616129017
"Illinois",7350,2022,"Aug",2845499.08333427,2.58302666236936
"Indiana",1060,2022,"Aug",1530403.50000099,0.692627793911419
"Iowa",280,2022,"Aug",694127.583333632,0.403384056076933
"Kansas",1280,2022,"Aug",646729.666666045,1.97918862543994
"Kentucky",0,2022,"Aug",985577.666666252,0
"Louisiana",0,2022,"Aug",1040662.37500121,0
"Maine",240,2022,"Aug",282847.499999994,0.848513775090835
"Maryland",2960,2022,"Aug",1388898.33333233,2.13118550794009
"Massachusetts",1740,2022,"Aug",1610544.25000061,1.0803801261588
"Michigan",3150,2022,"Aug",2172250.41666754,1.4501090554893
"Minnesota",1220,2022,"Aug",1254996.83333364,0.972114006661934
"Mississippi",0,2022,"Aug",666455.125000405,0
"Missouri",0,2022,"Aug",1366502.74999903,0
"Montana",220,2022,"Aug",239197.375001417,0.919742534794527
"Nebraska",260,2022,"Aug",434085.95833226,0.598959710650188
"Nevada",1550,2022,"Aug",717363.291666116,2.16069043120403
"New Hampshire",240,2022,"Aug",290351.04166649,0.826585634487491
"New Jersey",5240,2022,"Aug",2037373.95833289,2.57193824362401
"New Mexico",1530,2022,"Aug",462446.375001186,3.30849171430109
"New York",11440,2022,"Aug",4440564.41666761,2.5762490815492
"North Carolina",4310,2022,"Aug",2428069.37500018,1.77507283950636
"North Dakota",0,2022,"Aug",171293.166667623,0
"Ohio",780,2022,"Aug",2562301.29166552,0.30441384958792
"Oklahoma",0,2022,"Aug",909256.70833447,0
"Oregon",1070,2022,"Aug",960630.708333138,1.11385154640396
"Pennsylvania",3100,2022,"Aug",2807526.49999934,1.10417479585704
"Rhode Island",290,2022,"Aug",245707.500000561,1.18026515266867
"South Carolina",360,2022,"Aug",1162939.37500147,0.309560418830556
"South Dakota",0,2022,"Aug",190634.500002813,0
"Tennessee",250,2022,"Aug",1594897.41666578,0.156749893370972
"Texas",0,2022,"Aug",7194684.99999501,0
"Utah",310,2022,"Aug",843438.8750008,0.367542935461335
"Vermont",130,2022,"Aug",137737.583333485,0.943823732446712
"Virginia",2390,2022,"Aug",1955662.33333254,1.22209236188914
"Washington",1960,2022,"Aug",1774665.00000121,1.10443379454639
"West Virginia",160,2022,"Aug",365912.208334922,0.437263355404504
"Wisconsin",0,2022,"Aug",1266264.16666637,0
"Wyoming",40,2022,"Aug",124185.958332794,0.322097606983938
"Telehealth",7180,2022,"Aug",75084230.2083256,0.0956259387634217
"Alabama",0,2022,"Sep",1142091.5833307,0
"Alaska",160,2022,"Sep",159682.666667978,1.00198727475338
"Arizona",610,2022,"Sep",1636240.83333209,0.372805755469246
"Arkansas",0,2022,"Sep",677227.749999007,0
"California",12750,2022,"Sep",9066197.58332746,1.40632275910763
"Colorado",2000,2022,"Sep",1375239.41666506,1.45429223142104
"Connecticut",860,2022,"Sep",806436.249998206,1.06642031530938
"Delaware",270,2022,"Sep",216078.750001602,1.24954443691477
"DC",860,2022,"Sep",197760.333333337,4.34869817169259
"Florida",6790,2022,"Sep",4685952.66666746,1.44901164885835
"Georgia",2210,2022,"Sep",2590546.16666454,0.853101955270493
"Hawaii",280,2022,"Sep",295081.083331146,0.948891731178099
"Idaho",0,2022,"Sep",438997.500001081,0
"Illinois",6720,2022,"Sep",2843139.50000099,2.36358434047913
"Indiana",710,2022,"Sep",1530809.33333438,0.463806944822771
"Iowa",320,2022,"Sep",694320.500000319,0.460882258265244
"Kansas",1150,2022,"Sep",646815.333332676,1.7779417721511
"Kentucky",0,2022,"Sep",985486.66666623,0
"Louisiana",0,2022,"Sep",1039969.91666794,0
"Maine",220,2022,"Sep",283067.999999995,0.777198411689079
"Maryland",3030,2022,"Sep",1388483.99999894,2.18223616548863
"Massachusetts",1700,2022,"Sep",1610289.50000064,1.05571078989171
"Michigan",2970,2022,"Sep",2171557.83333426,1.36768174183959
"Minnesota",1220,2022,"Sep",1255059.33333365,0.972065596898491
"Mississippi",0,2022,"Sep",666274.083333761,0
"Missouri",0,2022,"Sep",1366817.16666564,0
"Montana",170,2022,"Sep",239683.58333483,0.709268434803546
"Nebraska",230,2022,"Sep",434190.41666553,0.529721502759874
"Nevada",1420,2022,"Sep",717953.749999418,1.97784328029647
"New Hampshire",220,2022,"Sep",290337.249999811,0.757739490885661
"New Jersey",4540,2022,"Sep",2036945.41666619,2.22882751931099
"New Mexico",1690,2022,"Sep",462528.250001259,3.65383087410423
"New York",10350,2022,"Sep",4434248.16666763,2.33410481573883
"North Carolina",4010,2022,"Sep",2430437.58333351,1.64990865328046
"North Dakota",0,2022,"Sep",171377.666667681,0
"Ohio",1070,2022,"Sep",2561684.74999878,0.417693863384442
"Oklahoma",0,2022,"Sep",910072.250001201,0
"Oregon",960,2022,"Sep",960655.916666463,0.999317219979513
"Pennsylvania",3020,2022,"Sep",2807587.9999993,1.07565639972843
"Rhode Island",280,2022,"Sep",245640.000000599,1.13987949845024
"South Carolina",790,2022,"Sep",1164233.58333489,0.678557989829743
